Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Memphis Grizzlies,Charlotte Hornets,0.417,0.447,0.376,0.73,42.8,24.7,13.0,8.8,4.6,-3.9,109.7,113.2,0.546,0.6,0.442,0.351,0.798,45.8,24.9,14.2,10.1,5.6,-3.8,108.5,112.7,0.542,0,11/10/2021
Denver Nuggets,Indiana Pacers,0.364,0.465,0.35,0.771,45.3,23.9,16.4,7.2,5.9,-0.4,108.1,108.7,0.564,0.6,0.465,0.291,0.715,45.2,24.4,16.0,9.0,4.5,3.4,103.3,100.4,0.545,1,11/10/2021
Golden State Warriors,Minnesota Timberwolves,0.333,0.411,0.328,0.774,43.7,22.4,16.9,9.6,6.0,-4.0,101.8,105.8,0.52,0.9,0.472,0.38,0.787,46.2,29.3,15.3,9.8,4.5,13.2,111.4,98.2,0.591,1,11/10/2021
Los Angeles Lakers,Miami Heat,0.7,0.464,0.357,0.826,49.9,24.8,15.0,6.7,2.2,8.8,112.1,103.2,0.57,0.545,0.463,0.359,0.733,43.9,23.1,15.7,8.7,5.9,-0.8,105.7,106.6,0.553,1,11/10/2021
LA Clippers,Miami Heat,0.636,0.459,0.348,0.819,49.1,24.7,14.7,7.3,2.2,7.6,111.3,103.6,0.566,0.6,0.446,0.362,0.767,43.8,23.4,13.6,9.4,3.9,4.7,106.1,101.7,0.554,1,11/11/2021
Philadelphia 76ers,Toronto Raptors,0.5,0.434,0.326,0.772,47.2,20.8,13.6,11.0,4.6,1.4,106.3,105.2,0.521,0.667,0.478,0.38,0.825,43.6,24.2,13.2,8.3,6.3,6.0,113.9,107.6,0.587,0,11/11/2021
Utah Jazz,Indiana Pacers,0.333,0.466,0.35,0.764,45.8,23.9,16.4,7.1,6.4,-0.6,108.0,108.9,0.563,0.727,0.457,0.324,0.813,49.3,20.4,15.7,7.9,5.5,9.6,113.8,104.2,0.577,0,11/11/2021
New Orleans Pelicans,Brooklyn Nets,0.667,0.465,0.379,0.79,45.3,24.2,15.3,6.2,5.5,3.1,105.8,103.1,0.575,0.083,0.414,0.316,0.795,46.8,23.5,16.1,7.7,4.5,-11.5,101.4,112.4,0.509,0,11/12/2021
Charlotte Hornets,New York Knicks,0.583,0.452,0.371,0.762,45.7,22.3,13.3,7.5,6.3,1.2,111.1,110.3,0.564,0.462,0.448,0.379,0.742,43.0,25.1,13.3,9.1,4.7,-2.9,109.7,112.3,0.549,1,11/12/2021
Cleveland Cavaliers,Detroit Pistons,0.2,0.398,0.285,0.738,43.4,21.1,15.4,8.7,5.2,-10.5,98.2,108.0,0.493,0.583,0.462,0.342,0.766,45.6,25.4,16.7,7.8,3.8,0.8,107.6,106.2,0.558,1,11/12/2021
Boston Celtics,Milwaukee Bucks,0.5,0.439,0.357,0.738,46.1,21.6,14.0,7.5,4.5,0.2,107.3,107.1,0.547,0.455,0.434,0.333,0.772,43.8,21.9,13.5,8.2,6.3,0.2,104.6,104.8,0.536,1,11/12/2021
Memphis Grizzlies,Phoenix Suns,0.7,0.48,0.347,0.77,43.4,26.6,13.6,8.7,4.7,1.8,108.3,107.2,0.569,0.545,0.44,0.341,0.782,46.5,24.9,14.3,10.4,5.8,-4.4,107.8,112.4,0.536,0,11/12/2021
Oklahoma City Thunder,Sacramento Kings,0.417,0.46,0.343,0.795,44.2,22.6,14.1,6.8,5.0,-0.6,109.5,109.9,0.564,0.4,0.41,0.3,0.75,47.4,20.3,15.6,7.1,4.1,-7.6,99.1,106.4,0.51,1,11/12/2021
Houston Rockets,Portland Trail Blazers,0.417,0.456,0.351,0.751,47.2,23.5,13.9,8.0,4.7,0.9,109.5,108.7,0.56,0.091,0.442,0.339,0.696,43.3,20.4,18.8,8.0,4.2,-7.2,100.5,107.8,0.544,0,11/12/2021
San Antonio Spurs,Dallas Mavericks,0.636,0.434,0.321,0.718,46.5,21.1,13.5,7.0,4.6,-3.1,104.7,107.8,0.535,0.364,0.468,0.35,0.691,43.3,27.6,12.8,9.2,5.6,2.0,107.1,104.8,0.543,0,11/12/2021
Denver Nuggets,Atlanta Hawks,0.333,0.446,0.366,0.808,46.3,22.8,13.2,6.8,3.7,-4.0,107.9,112.2,0.545,0.636,0.462,0.299,0.731,45.1,24.2,15.6,8.7,4.5,3.4,104.1,100.9,0.545,1,11/12/2021
Golden State Warriors,Chicago Bulls,0.727,0.466,0.367,0.858,45.1,23.4,12.5,8.9,5.1,7.3,110.5,103.3,0.566,0.909,0.472,0.371,0.789,46.8,28.7,15.3,10.1,4.7,13.2,112.3,99.2,0.592,1,11/12/2021
Los Angeles Lakers,Minnesota Timberwolves,0.3,0.411,0.333,0.771,43.4,23.2,16.9,9.4,5.8,-4.9,102.6,107.3,0.521,0.583,0.466,0.37,0.726,44.0,23.1,16.1,8.3,5.8,-0.5,105.8,106.4,0.558,0,11/12/2021
LA Clippers,Minnesota Timberwolves,0.364,0.415,0.333,0.77,44.4,23.3,16.8,9.5,5.6,-2.3,103.3,105.6,0.523,0.636,0.448,0.357,0.777,43.7,23.1,13.4,9.4,4.4,4.6,106.7,102.5,0.556,1,11/13/2021
Utah Jazz,Miami Heat,0.583,0.458,0.335,0.819,49.2,24.2,14.8,7.5,2.3,6.7,111.3,104.4,0.562,0.667,0.458,0.321,0.793,48.3,20.6,15.4,7.7,5.4,7.8,112.7,104.8,0.574,0,11/13/2021
Orlando Magic,Washington Wizards,0.727,0.459,0.334,0.804,46.9,22.5,13.9,7.0,5.7,4.2,107.0,102.9,0.558,0.25,0.422,0.33,0.752,45.6,21.4,16.8,6.5,5.3,-9.6,101.1,110.3,0.527,0,11/13/2021
New Orleans Pelicans,Memphis Grizzlies,0.5,0.434,0.331,0.758,47.3,24.3,14.3,10.0,5.8,-6.0,106.2,112.6,0.527,0.077,0.419,0.322,0.796,46.7,23.7,16.1,7.6,4.5,-11.3,102.5,113.1,0.515,1,11/13/2021
