Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Indiana Pacers,Toronto Raptors,0.474,0.441,0.352,0.779,46.0,21.9,13.4,10.2,4.6,0.7,110.6,110.0,0.536,0.4,0.458,0.341,0.764,46.2,23.5,14.9,7.1,6.8,1.6,107.9,106.6,0.555,1,11/26/2021
Oklahoma City Thunder,Washington Wizards,0.611,0.453,0.321,0.78,47.0,23.3,14.6,6.7,5.2,0.6,105.6,105.1,0.55,0.333,0.41,0.312,0.73,48.6,20.4,14.5,7.1,4.4,-7.3,99.8,107.0,0.507,0,11/26/2021
San Antonio Spurs,Boston Celtics,0.526,0.44,0.326,0.813,46.1,22.5,13.8,7.7,5.5,1.6,106.5,105.4,0.545,0.235,0.464,0.343,0.687,43.1,27.3,13.2,8.7,5.0,-3.5,105.6,108.7,0.537,1,11/26/2021
Denver Nuggets,Milwaukee Bucks,0.579,0.443,0.362,0.737,47.1,22.3,13.8,7.6,4.5,2.5,108.0,105.6,0.554,0.5,0.456,0.323,0.744,45.5,24.6,14.5,7.8,4.3,-0.2,106.0,106.6,0.547,0,11/26/2021
Utah Jazz,New Orleans Pelicans,0.2,0.424,0.337,0.817,47.1,23.6,15.9,7.4,4.3,-7.5,103.6,110.5,0.526,0.667,0.467,0.342,0.787,48.0,22.1,15.3,7.8,5.8,9.0,114.2,105.3,0.586,0,11/26/2021
Golden State Warriors,Portland Trail Blazers,0.526,0.462,0.356,0.795,45.9,24.1,14.0,8.3,4.9,1.4,112.1,111.0,0.572,0.889,0.477,0.367,0.783,46.7,29.1,15.9,9.6,4.9,13.3,113.0,99.7,0.596,1,11/26/2021
Los Angeles Lakers,Sacramento Kings,0.368,0.452,0.334,0.76,44.7,22.1,14.2,6.9,4.7,-2.0,109.3,110.9,0.552,0.5,0.456,0.349,0.752,44.4,22.7,15.4,8.0,5.6,-3.0,105.4,108.5,0.552,0,11/26/2021
Chicago Bulls,Miami Heat,0.632,0.463,0.347,0.809,47.5,24.5,15.2,7.7,2.5,6.5,110.6,104.3,0.57,0.65,0.463,0.372,0.84,43.6,23.0,13.2,8.7,4.3,4.4,109.0,104.4,0.563,0,11/27/2021
Houston Rockets,Charlotte Hornets,0.619,0.454,0.376,0.722,44.3,25.6,13.0,8.8,5.1,0.3,109.9,109.1,0.552,0.111,0.429,0.318,0.691,44.0,20.0,18.4,7.1,4.6,-10.0,98.1,108.0,0.528,1,11/27/2021
Dallas Mavericks,Washington Wizards,0.632,0.454,0.322,0.789,46.9,23.1,14.7,6.5,5.6,0.7,105.6,105.0,0.552,0.588,0.436,0.331,0.745,46.0,23.1,12.4,7.8,4.3,-1.3,106.6,107.8,0.538,0,11/27/2021
Utah Jazz,New Orleans Pelicans,0.238,0.424,0.34,0.818,46.8,23.8,15.8,7.5,4.3,-7.1,103.5,110.1,0.526,0.632,0.466,0.344,0.782,47.8,21.9,15.4,7.7,5.9,8.5,113.6,105.0,0.584,1,11/27/2021
Philadelphia 76ers,Minnesota Timberwolves,0.474,0.425,0.334,0.769,45.3,23.5,15.9,9.3,6.2,1.6,106.9,105.3,0.534,0.526,0.465,0.364,0.827,43.4,23.2,13.0,8.3,6.1,1.0,111.3,109.9,0.57,0,11/27/2021
Atlanta Hawks,New York Knicks,0.526,0.438,0.365,0.765,46.5,21.7,14.4,7.1,6.1,-0.3,107.9,108.5,0.55,0.55,0.47,0.376,0.8,46.8,24.4,12.5,7.0,4.2,3.2,112.9,109.7,0.569,0,11/27/2021
Brooklyn Nets,Phoenix Suns,0.842,0.482,0.363,0.789,45.3,26.4,13.3,8.8,4.2,7.6,110.9,103.6,0.578,0.737,0.466,0.377,0.808,44.3,25.2,14.0,6.9,5.3,4.6,109.1,104.7,0.58,0,11/27/2021
Cleveland Cavaliers,Orlando Magic,0.2,0.412,0.329,0.755,45.1,21.9,15.8,6.5,4.8,-11.2,101.3,112.3,0.517,0.474,0.444,0.329,0.769,45.5,24.2,16.2,7.9,3.6,-0.5,105.4,105.5,0.545,1,11/27/2021
Indiana Pacers,Milwaukee Bucks,0.6,0.45,0.367,0.73,47.0,22.4,14.2,7.4,4.7,2.9,108.8,106.0,0.561,0.429,0.46,0.338,0.765,46.7,23.9,14.8,7.0,6.6,2.3,108.5,106.4,0.556,0,11/28/2021
Toronto Raptors,Boston Celtics,0.5,0.436,0.324,0.807,46.4,22.4,13.7,7.6,5.7,1.1,105.8,105.2,0.54,0.45,0.44,0.347,0.776,45.9,21.7,13.3,10.2,4.5,-0.3,110.2,110.5,0.534,0,11/28/2021
Memphis Grizzlies,Sacramento Kings,0.4,0.452,0.333,0.753,44.7,22.3,14.1,7.0,4.6,-1.7,109.6,110.7,0.551,0.474,0.444,0.336,0.773,45.7,24.9,13.4,9.5,5.8,-6.6,109.0,115.9,0.539,1,11/28/2021
Los Angeles Lakers,Detroit Pistons,0.211,0.405,0.293,0.777,42.6,21.5,15.1,8.7,4.7,-9.6,100.1,109.4,0.507,0.476,0.458,0.349,0.749,44.1,22.8,15.4,7.9,5.6,-3.0,105.6,108.8,0.555,1,11/28/2021
LA Clippers,Golden State Warriors,0.895,0.481,0.365,0.782,46.8,29.2,15.8,9.5,4.9,13.5,113.4,99.9,0.598,0.579,0.444,0.349,0.816,45.0,22.6,14.6,8.3,4.5,3.4,105.2,102.0,0.551,0,11/28/2021
Philadelphia 76ers,Orlando Magic,0.19,0.412,0.326,0.746,45.1,21.9,15.5,6.8,4.8,-11.3,101.0,112.0,0.515,0.5,0.462,0.363,0.821,43.2,23.3,13.1,8.4,6.0,0.9,111.0,109.8,0.569,1,11/29/2021
Houston Rockets,Oklahoma City Thunder,0.316,0.41,0.313,0.735,48.3,20.6,14.3,7.1,4.4,-7.0,100.0,107.0,0.506,0.158,0.435,0.329,0.69,43.6,20.7,18.1,6.9,4.6,-9.3,100.1,109.2,0.536,1,11/29/2021
Minnesota Timberwolves,Indiana Pacers,0.409,0.458,0.334,0.765,46.6,23.8,14.7,7.0,6.4,1.4,108.1,107.0,0.553,0.5,0.429,0.336,0.765,45.5,23.3,16.1,9.2,6.2,1.5,106.9,105.4,0.537,1,11/29/2021
Chicago Bulls,Charlotte Hornets,0.591,0.454,0.377,0.734,43.9,25.7,12.9,8.8,5.1,0.2,110.9,110.3,0.555,0.619,0.464,0.366,0.839,43.9,23.0,13.6,8.6,4.3,4.0,108.9,104.7,0.564,1,11/29/2021
Miami Heat,Denver Nuggets,0.474,0.455,0.326,0.749,44.9,24.6,14.2,7.8,4.1,-0.8,106.4,107.5,0.547,0.65,0.461,0.347,0.812,47.0,24.4,15.0,8.0,2.4,6.4,110.5,104.4,0.569,0,11/29/2021
Dallas Mavericks,Cleveland Cavaliers,0.5,0.444,0.331,0.769,45.8,24.4,16.1,7.7,3.8,0.2,105.5,105.1,0.545,0.556,0.438,0.333,0.744,45.5,23.2,12.1,7.7,4.3,-1.6,107.2,108.8,0.54,0,11/29/2021
San Antonio Spurs,Washington Wizards,0.65,0.46,0.324,0.79,46.8,23.4,14.7,6.4,5.5,1.0,106.6,105.6,0.558,0.278,0.463,0.338,0.69,43.7,27.0,13.1,8.6,5.0,-2.9,105.3,107.8,0.535,1,11/29/2021
Utah Jazz,Portland Trail Blazers,0.5,0.459,0.356,0.794,45.5,24.0,13.8,8.3,4.7,0.6,111.6,111.5,0.57,0.65,0.47,0.353,0.781,47.4,22.0,15.6,7.8,5.8,9.2,114.2,105.0,0.59,1,11/29/2021
LA Clippers,New Orleans Pelicans,0.227,0.425,0.334,0.818,46.7,24.0,15.8,7.5,4.2,-7.8,103.6,110.8,0.525,0.55,0.442,0.348,0.807,45.1,22.3,15.1,8.3,4.4,2.5,104.4,102.2,0.549,0,11/29/2021
Toronto Raptors,Memphis Grizzlies,0.5,0.446,0.336,0.771,46.7,25.1,13.2,9.2,6.0,-4.9,109.6,114.8,0.541,0.429,0.437,0.345,0.78,45.8,21.6,13.2,10.0,4.5,-0.8,109.7,110.5,0.532,0,11/30/2021
Brooklyn Nets,New York Knicks,0.55,0.438,0.366,0.763,46.8,21.7,14.2,7.0,6.0,0.2,107.8,108.0,0.549,0.7,0.467,0.375,0.806,44.4,25.2,14.3,6.9,5.3,4.1,109.0,105.0,0.58,1,11/30/2021
Phoenix Suns,Golden State Warriors,0.9,0.479,0.368,0.769,46.6,29.0,15.9,10.0,4.8,13.5,113.0,99.4,0.595,0.85,0.481,0.362,0.793,45.0,25.9,13.2,8.9,4.0,7.5,110.8,103.7,0.577,1,11/30/2021
Portland Trail Blazers,Detroit Pistons,0.2,0.406,0.297,0.782,43.0,21.8,15.2,8.5,4.7,-9.3,100.2,109.2,0.509,0.476,0.46,0.356,0.791,45.4,23.8,13.6,7.9,4.7,-0.5,111.7,112.6,0.569,1,11/30/2021
Sacramento Kings,Los Angeles Lakers,0.5,0.46,0.346,0.742,44.0,23.2,15.2,8.1,5.6,-2.7,105.6,108.5,0.555,0.381,0.446,0.326,0.749,44.8,22.0,13.8,6.9,4.8,-2.9,108.9,111.2,0.545,0,11/30/2021
Indiana Pacers,Atlanta Hawks,0.524,0.464,0.369,0.798,47.2,24.2,12.3,7.1,4.3,2.7,112.2,109.5,0.563,0.391,0.455,0.33,0.767,46.6,23.9,14.7,6.9,6.3,1.2,107.6,106.6,0.55,0,12/01/2021
Orlando Magic,Denver Nuggets,0.5,0.46,0.335,0.75,44.5,25.1,14.2,7.6,4.0,-0.3,107.6,108.1,0.555,0.182,0.412,0.322,0.748,45.5,21.8,15.3,6.8,4.9,-11.0,100.6,111.4,0.514,1,12/01/2021
Washington Wizards,Minnesota Timberwolves,0.524,0.43,0.333,0.763,45.5,23.3,16.0,9.1,6.1,1.5,106.6,105.0,0.537,0.619,0.459,0.322,0.785,46.7,23.6,14.4,6.3,5.4,0.1,106.7,106.6,0.555,1,12/01/2021
Miami Heat,Cleveland Cavaliers,0.524,0.45,0.336,0.769,46.0,24.6,16.3,7.5,3.8,1.0,106.0,104.6,0.55,0.619,0.462,0.347,0.807,46.7,24.9,14.8,7.7,2.4,5.6,110.9,105.6,0.569,0,12/01/2021
Boston Celtics,Philadelphia 76ers,0.524,0.459,0.36,0.817,43.7,23.3,13.0,8.4,6.0,1.1,110.4,108.9,0.564,0.524,0.435,0.326,0.816,46.8,22.5,13.9,7.4,5.6,1.6,106.0,104.9,0.542,1,12/01/2021
New Orleans Pelicans,Dallas Mavericks,0.526,0.438,0.332,0.73,44.8,23.0,12.0,7.8,4.5,-2.5,106.6,109.2,0.538,0.261,0.429,0.337,0.817,46.9,24.3,15.5,7.7,4.1,-6.6,104.8,110.8,0.529,0,12/01/2021
Oklahoma City Thunder,Houston Rockets,0.2,0.434,0.329,0.689,44.4,21.2,17.9,6.9,4.6,-8.2,100.0,108.1,0.535,0.3,0.407,0.305,0.737,48.1,20.4,14.2,7.3,4.6,-7.3,99.3,106.6,0.504,0,12/01/2021
Milwaukee Bucks,Charlotte Hornets,0.565,0.455,0.381,0.737,43.5,25.6,12.7,8.7,5.2,-0.4,111.2,111.3,0.557,0.619,0.453,0.361,0.735,47.3,22.6,14.2,7.3,4.6,3.6,109.2,105.7,0.563,1,12/01/2021
LA Clippers,Sacramento Kings,0.364,0.446,0.322,0.749,44.6,22.0,14.1,7.1,4.7,-3.9,108.2,111.6,0.544,0.524,0.445,0.35,0.804,44.7,22.2,15.2,8.0,4.3,1.5,104.7,103.6,0.552,0,12/01/2021
New York Knicks,Chicago Bulls,0.636,0.47,0.371,0.832,43.7,23.6,13.5,8.3,4.4,4.5,110.0,105.4,0.57,0.524,0.44,0.365,0.767,46.7,22.0,14.1,6.9,5.8,0.0,108.2,108.6,0.55,0,12/02/2021
Toronto Raptors,Milwaukee Bucks,0.636,0.455,0.362,0.739,47.0,22.9,14.1,7.4,4.4,3.6,109.7,106.2,0.565,0.409,0.435,0.34,0.779,45.8,21.3,13.5,9.8,4.8,-1.1,108.9,110.0,0.529,1,12/02/2021
Memphis Grizzlies,Oklahoma City Thunder,0.286,0.41,0.303,0.739,47.5,20.2,14.2,7.4,4.7,-7.2,100.0,107.1,0.506,0.524,0.444,0.334,0.775,47.0,24.8,13.4,9.3,6.2,-4.3,109.1,113.7,0.538,1,12/02/2021
