H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.6,0.407,0.359,0.75,44.0,18.7,16.3,9.6,4.9,-4.9,99.2,105.1,0.508,0.75,0.425,0.287,0.689,45.4,18.0,14.0,9.7,4.2,9.2,100.0,90.5,0.508,0,0.2,0.2,1486.633948759084,1515.3217842302388
0.0,0.418,0.328,0.806,41.5,19.0,13.1,7.9,4.4,-8.7,100.5,108.7,0.518,0.4,0.454,0.376,0.821,40.2,21.1,14.4,7.4,5.1,-4.4,104.9,109.7,0.557,0,0.0,0.1,1476.165538704119,1480.420965716136
0.75,0.469,0.28,0.794,45.7,17.1,13.2,10.4,3.6,7.3,108.6,102.1,0.545,0.5,0.438,0.384,0.681,47.3,22.8,15.6,6.1,6.6,2.8,103.8,101.3,0.522,1,0.2,0.1,1510.0106342263912,1491.3202552100358
0.4,0.436,0.32,0.821,45.5,20.9,16.5,9.4,3.7,-3.9,103.3,107.3,0.539,0.75,0.431,0.324,0.776,47.6,24.6,11.0,8.1,7.3,7.1,107.6,101.3,0.532,0,0.2,0.2,1487.4570733931089,1509.528264286336
0.75,0.463,0.409,0.81,53.3,27.0,16.1,7.4,5.9,11.7,112.5,100.5,0.563,0.25,0.431,0.333,0.697,40.5,19.5,14.9,6.6,6.3,-13.7,98.0,112.5,0.513,0,0.2,0.1,1529.3483245485122,1479.3102602378176
0.4,0.456,0.307,0.83,41.2,18.7,17.8,9.9,4.7,-3.6,105.7,109.9,0.549,0.8,0.492,0.329,0.811,42.3,28.3,15.1,9.3,6.0,6.6,112.0,105.4,0.588,1,0.1,0.4,1487.1976790091862,1554.9703249240067
0.6,0.452,0.387,0.743,44.6,20.2,15.3,7.1,5.5,3.5,106.0,101.5,0.552,0.8,0.45,0.423,0.862,47.5,23.0,12.6,8.3,6.0,10.2,112.2,100.8,0.557,0,0.3,0.2,1524.0065965267545,1504.167620013062
0.0,0.417,0.33,0.761,41.4,22.6,17.7,6.9,6.4,-14.4,93.3,107.4,0.501,1.0,0.463,0.388,0.791,44.5,23.2,12.4,7.7,4.5,10.6,116.3,105.9,0.585,0,0.0,0.4,1457.120113538547,1525.820973704224
0.833,0.449,0.403,0.869,48.4,22.2,12.5,8.5,6.4,11.0,111.4,99.5,0.554,0.8,0.415,0.289,0.716,46.0,18.3,13.7,11.2,4.6,9.6,100.4,90.8,0.506,0,0.3,0.3,1520.507511938969,1527.3294904847476
0.4,0.416,0.299,0.698,47.4,24.4,13.9,6.6,4.7,-7.3,103.0,110.0,0.49,0.25,0.455,0.253,0.775,40.4,19.5,18.2,9.2,4.0,-7.7,99.8,106.4,0.531,1,0.2,0.1,1491.5525588636146,1485.1343809414448
0.6,0.45,0.333,0.744,49.5,22.3,13.8,8.8,4.0,5.8,104.4,98.1,0.517,0.5,0.426,0.319,0.765,49.9,17.9,17.2,6.9,4.8,0.7,101.2,101.2,0.526,1,0.3,0.1,1526.020298784186,1496.949809391827
0.6,0.466,0.325,0.816,44.4,26.6,14.3,9.5,5.0,-0.4,107.1,107.2,0.547,0.333,0.452,0.328,0.77,42.5,22.0,16.0,7.0,3.7,-3.0,105.1,109.2,0.542,1,0.3,0.1,1512.464039961805,1479.1387515482068
0.4,0.461,0.393,0.765,40.3,25.8,15.4,9.6,6.0,-5.4,105.4,111.2,0.548,0.6,0.458,0.397,0.811,52.1,25.1,15.8,6.8,5.6,6.8,113.1,105.6,0.559,1,0.1,0.2,1476.0192547803183,1512.3749561922746
0.6,0.457,0.331,0.68,44.9,26.8,16.3,11.3,4.8,9.5,105.8,96.0,0.546,0.6,0.471,0.369,0.718,44.0,25.0,16.1,7.9,3.3,2.9,113.8,110.5,0.582,1,0.2,0.3,1518.075231444033,1524.8640817800028
0.8,0.423,0.302,0.69,47.8,18.3,17.3,9.4,4.2,0.4,98.3,97.7,0.497,0.25,0.469,0.415,0.741,46.3,23.4,16.5,8.0,5.1,6.9,110.6,101.8,0.563,1,0.3,0.1,1506.97298864624,1508.8533484927646
0.4,0.449,0.351,0.708,41.1,22.4,13.1,6.8,5.5,-8.4,103.5,113.1,0.53,0.5,0.438,0.393,0.723,44.7,19.5,14.9,7.2,5.3,0.4,103.7,102.6,0.539,0,0.2,0.3,1496.2836285940552,1507.6667046008472
0.5,0.4,0.357,0.753,45.0,20.1,16.9,8.7,5.6,-6.0,98.0,104.6,0.502,0.5,0.453,0.378,0.818,40.8,21.2,14.4,7.7,4.8,-2.1,105.6,107.7,0.56,0,0.2,0.2,1474.6262425045752,1492.668557099037
0.8,0.464,0.27,0.809,47.2,16.7,14.0,9.8,4.0,7.7,107.3,100.2,0.54,0.286,0.443,0.333,0.772,41.9,22.9,16.0,7.2,3.6,-6.5,103.9,111.8,0.535,0,0.3,0.1,1517.230626911154,1465.4313643830296
0.5,0.459,0.3,0.842,42.6,19.8,17.4,9.7,4.8,0.3,107.0,107.2,0.551,0.333,0.433,0.287,0.746,46.3,16.5,14.7,8.6,3.0,-6.6,98.6,105.5,0.512,1,0.2,0.2,1504.4557842197644,1484.8986530462057
0.6,0.494,0.393,0.724,41.2,27.6,13.0,7.5,6.3,1.2,112.4,111.2,0.587,0.4,0.405,0.31,0.776,49.8,17.4,17.1,7.2,4.3,-2.7,98.8,102.1,0.504,0,0.2,0.1,1510.9433358301442,1486.5718087121495
0.0,0.416,0.333,0.815,42.2,18.9,13.1,7.4,4.1,-9.0,99.8,108.8,0.518,0.667,0.471,0.347,0.82,46.4,27.2,15.0,10.0,6.0,4.1,110.2,105.6,0.56,1,0.0,0.4,1463.9179473212182,1526.171427126982
0.2,0.443,0.272,0.765,43.2,18.2,17.2,8.4,4.3,-6.8,99.6,105.5,0.517,0.5,0.465,0.363,0.729,43.5,24.3,17.7,8.0,3.9,-0.2,110.2,109.8,0.574,0,0.1,0.3,1481.3546120781166,1513.7254287067317
0.0,0.426,0.341,0.735,42.0,22.2,17.5,7.3,6.9,-11.6,94.5,105.9,0.51,0.571,0.448,0.383,0.75,43.5,19.9,14.4,7.1,5.2,1.1,106.4,104.8,0.552,0,0.0,0.4,1453.285476903967,1515.786596716533
