Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Sacramento Kings,Phoenix Suns,0022101066,124,0.347,0.459,0.344,0.767,42.9,23.4,14.1,7.1,4.5,-5.4,109.7,114.9,0.559,127,0.803,0.486,0.366,0.8,45.4,27.3,12.8,8.5,4.4,8.5,114.5,106.0,0.582,0,03/20/2022
New York Knicks,Utah Jazz,0022101067,93,0.429,0.436,0.355,0.749,47.8,22.2,13.9,7.1,5.1,-0.6,109.1,110.0,0.548,108,0.629,0.472,0.365,0.776,47.4,23.0,14.5,7.3,5.0,6.8,116.2,109.5,0.592,0,03/20/2022
Denver Nuggets,Boston Celtics,0022101068,104,0.592,0.478,0.351,0.79,44.7,27.8,14.6,7.4,3.8,2.8,112.8,110.0,0.584,124,0.606,0.457,0.347,0.815,47.2,24.5,13.9,7.4,6.0,6.2,111.6,105.4,0.568,0,03/20/2022
Philadelphia 76ers,Toronto Raptors,0022101069,88,0.623,0.461,0.359,0.822,43.5,23.8,12.8,7.8,5.5,2.1,112.0,109.7,0.572,93,0.557,0.444,0.352,0.753,46.3,22.4,12.9,9.2,4.7,1.5,111.6,110.3,0.542,0,03/20/2022
Golden State Warriors,San Antonio Spurs,0022101070,108,0.671,0.469,0.362,0.764,45.7,27.5,15.0,9.2,4.8,6.2,112.1,106.1,0.582,110,0.38,0.466,0.35,0.745,44.6,27.6,12.6,7.5,5.0,-1.0,111.1,112.0,0.553,0,03/20/2022
Orlando Magic,Oklahoma City Thunder,0022101065,90,0.254,0.434,0.331,0.79,43.9,23.4,14.5,6.7,4.6,-8.0,104.2,112.3,0.539,85,0.286,0.426,0.316,0.764,45.9,21.9,13.8,7.7,4.6,-7.9,103.1,111.1,0.525,1,03/20/2022
Indiana Pacers,Portland Trail Blazers,0022101062,129,0.338,0.461,0.34,0.761,45.0,24.9,14.6,6.8,5.7,-2.7,111.1,113.8,0.559,98,0.377,0.445,0.351,0.76,44.0,22.9,14.2,7.7,4.5,-6.7,108.3,115.2,0.554,1,03/20/2022
Houston Rockets,Memphis Grizzlies,0022101063,98,0.243,0.454,0.346,0.71,41.4,22.9,16.4,7.2,4.5,-9.2,107.4,116.5,0.562,122,0.676,0.46,0.342,0.731,49.0,25.2,13.1,9.7,6.5,5.0,113.6,109.0,0.549,0,03/20/2022
Charlotte Hornets,New Orleans Pelicans,0022101071,106,0.507,0.462,0.363,0.738,44.1,27.0,12.9,8.6,4.8,0.4,112.9,112.4,0.567,103,0.423,0.455,0.331,0.785,46.3,25.4,14.5,8.2,4.1,-1.3,110.3,111.3,0.555,1,03/21/2022
Cleveland Cavaliers,Los Angeles Lakers,0022101072,120,0.577,0.467,0.351,0.759,45.9,26.0,15.1,7.4,4.4,3.1,110.4,107.4,0.568,131,0.423,0.465,0.349,0.728,43.3,23.5,14.5,7.7,5.4,-2.8,109.1,111.7,0.563,0,03/21/2022
Philadelphia 76ers,Miami Heat,0022101074,113,0.614,0.46,0.358,0.821,43.5,23.8,12.8,7.8,5.5,2.0,111.8,109.6,0.571,106,0.662,0.462,0.374,0.81,45.5,26.3,14.9,7.6,3.4,4.9,112.3,107.5,0.578,1,03/21/2022
