Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Chicago Bulls,San Antonio Spurs,0021700031,77,0.0,0.416,0.313,0.889,38.6,21.8,18.8,6.9,2.0,-16.8,99.0,115.8,0.516,87,1.0,0.461,0.381,0.895,52.1,22.9,11.5,8.3,11.5,8.3,111.5,104.2,0.55,0,10/21/2017
New York Knicks,Detroit Pistons,0021700030,107,0.0,0.405,0.292,0.684,41.4,19.2,26.3,8.1,4.0,-21.2,84.8,105.0,0.481,111,0.5,0.459,0.388,0.813,39.6,21.3,13.9,12.9,2.0,4.0,105.4,101.5,0.54,0,10/21/2017
LA Clippers,Phoenix Suns,0021700037,130,1.0,0.393,0.364,0.923,55.7,21.7,14.2,11.3,2.8,15.1,101.9,87.6,0.479,88,0.0,0.403,0.375,0.696,37.7,12.3,15.9,7.7,7.7,-22.7,93.6,115.8,0.501,1,10/21/2017
Houston Rockets,Dallas Mavericks,0021700032,107,1.0,0.444,0.314,0.833,43.5,23.5,14.5,8.0,4.0,3.0,113.5,110.0,0.564,91,0.0,0.429,0.359,0.786,40.1,24.0,14.6,6.8,5.7,-5.7,103.6,108.2,0.554,1,10/21/2017
Cleveland Cavaliers,Orlando Magic,0021700028,93,1.0,0.5,0.333,0.905,48.5,22.7,18.0,5.7,3.6,11.3,112.4,101.6,0.597,114,0.5,0.492,0.481,0.795,42.7,24.6,17.5,8.1,5.7,0.9,112.3,110.3,0.597,0,10/21/2017
Miami Heat,Indiana Pacers,0021700029,112,0.0,0.436,0.267,0.765,41.9,25.7,12.4,5.7,3.8,-6.7,103.8,111.5,0.502,108,0.5,0.489,0.25,0.723,39.8,20.4,12.0,6.0,6.0,-4.2,109.3,115.0,0.566,1,10/21/2017
Milwaukee Bucks,Portland Trail Blazers,0021700034,113,0.5,0.481,0.321,0.833,38.7,21.6,15.5,7.7,3.1,-5.7,105.7,109.6,0.581,110,1.0,0.486,0.535,0.778,54.3,20.6,13.6,6.5,6.5,33.2,119.6,86.4,0.581,1,10/21/2017
Utah Jazz,Oklahoma City Thunder,0021700036,96,0.5,0.494,0.391,0.879,38.1,26.3,17.5,9.8,6.7,3.6,104.6,102.1,0.588,87,1.0,0.433,0.289,0.727,41.0,26.0,20.0,14.0,7.0,21.0,105.0,84.8,0.527,1,10/21/2017
Denver Nuggets,Sacramento Kings,0021700035,96,0.0,0.468,0.481,0.917,39.2,21.6,21.6,4.1,3.1,-10.3,99.0,109.3,0.583,79,0.5,0.451,0.391,0.739,51.6,20.3,17.2,6.8,3.6,0.0,100.5,101.6,0.521,1,10/21/2017
Toronto Raptors,Philadelphia 76ers,0021700027,128,1.0,0.47,0.448,0.929,48.5,25.7,16.8,9.9,4.0,16.8,115.8,99.0,0.614,94,0.0,0.422,0.373,0.743,46.6,22.1,16.7,6.4,4.9,-7.4,101.5,107.2,0.516,1,10/21/2017
