H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
1.0,0.462,0.407,0.791,52.6,23.2,12.8,11.4,2.4,27.5,112.8,86.1,0.556,0.667,0.494,0.36,0.851,40.2,25.5,18.5,10.5,5.9,5.6,104.5,99.6,0.585,1,0.1,0.1,1521.9810885960508,1503.481094579411
0.667,0.476,0.483,0.813,45.2,25.8,15.8,7.7,5.8,7.4,113.2,105.1,0.591,0.667,0.484,0.381,0.762,43.0,21.5,17.0,9.7,4.8,2.4,113.0,110.6,0.588,1,0.1,0.2,1516.1755637182848,1514.3187215103867
0.667,0.46,0.315,0.841,47.1,20.1,17.4,5.1,4.8,0.3,106.1,106.2,0.555,0.0,0.398,0.3,0.852,44.4,20.4,19.9,5.1,3.6,-13.8,90.3,104.1,0.484,1,0.1,0.0,1497.0733813270533,1487.5882049604
0.667,0.466,0.479,0.825,50.3,19.8,14.4,7.7,6.4,21.1,116.8,96.0,0.578,0.333,0.469,0.355,0.736,45.7,21.4,17.6,8.3,6.7,-4.2,105.4,108.9,0.566,1,0.1,0.1,1512.981525652453,1499.727201400164
0.667,0.46,0.379,0.792,44.9,22.3,16.1,7.9,2.4,-1.0,107.5,107.8,0.553,0.333,0.475,0.282,0.721,41.9,19.8,11.5,7.0,5.4,-4.2,109.9,114.8,0.548,0,0.2,0.0,1510.050443951252,1477.0831042753796
0.0,0.405,0.362,0.72,40.6,21.8,13.7,7.6,2.8,-14.5,99.7,113.6,0.515,1.0,0.439,0.333,0.775,42.4,19.0,13.1,7.6,4.8,10.3,107.6,97.6,0.553,1,0.0,0.2,1456.2595428466177,1519.6653732909542
0.5,0.448,0.312,0.818,41.0,19.7,13.9,9.1,2.0,0.3,103.8,103.5,0.528,0.5,0.467,0.378,0.755,40.3,23.5,15.6,8.2,2.8,-6.6,107.4,113.5,0.555,1,0.1,0.2,1488.0498136334784,1486.1974363331487
0.333,0.443,0.324,0.667,39.2,22.9,16.4,12.6,5.8,3.4,104.1,100.7,0.528,0.5,0.519,0.323,0.722,41.9,22.5,13.1,7.3,4.6,2.4,114.8,112.9,0.589,1,0.0,0.1,1486.4684614693367,1500.9361118934828
0.333,0.418,0.293,0.716,50.7,16.7,17.3,4.0,4.0,-1.0,97.7,99.3,0.525,0.333,0.463,0.388,0.745,47.9,25.0,20.5,5.5,2.4,0.7,101.4,100.7,0.556,1,0.1,0.1,1503.5312778069572,1503.5971819894055
0.667,0.469,0.356,0.673,42.6,23.6,15.1,7.9,6.9,2.6,106.6,104.6,0.552,1.0,0.438,0.264,0.741,54.0,22.7,14.4,6.9,8.9,7.6,101.4,94.1,0.496,0,0.2,0.2,1512.623448784095,1517.623607777208
